soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label,source,suitability_probability,suitable
6.0,435,83,1150,27.4,83,Rambutan,original,0.8942,True
5.8,460,85,950,27.2,87,Rambutan,original,0.7201,True
5.6,450,86,1000,26.8,84,Rambutan,original,0.9069,True
6.1,465,82,1250,27.5,86,Rambutan,original,0.6019,True
5.5,445,88,800,26.6,81,Rambutan,original,0.9816,True
5.7,440,87,900,26.7,82,Rambutan,original,0.9028,True
6.8,550,75,2500,29.2,95,Rice,original,0.2355,False
6.2,480,82,1500,27.5,90,Rice,original,0.1747,False
5.3,520,77,2800,28.8,86,Rice,original,0.0835,False
6.0,515,78,2750,28.4,89,Rice,original,0.0748,False
6.0,515,78,2750,28.4,89,Rice,original,0.0748,False
6.2,480,82,1500,27.5,90,Rice,original,0.1747,False
5.3,520,77,2800,28.8,86,Rice,original,0.0835,False
6.8,405,79,1900,28.0,84,Rice,original,0.1289,False
6.8,550,75,2500,29.2,95,Banana,original,0.2876,False
6.4,495,81,1650,27.8,92,Banana,original,0.2784,False
5.4,470,83,1300,27.9,90,Banana,original,0.1363,False
4.0,771,79,8280,28.8,99,Banana,original,0.1172,False
4.5,810,66,9337,29.3,99,Banana,original,0.5473,False
6.2,410,78,2200,28.4,83,Katuray,original,0.4066,False
6.8,405,79,1900,28.0,84,Katuray,original,0.1455,False
5.7,470,84,1050,27.4,89,Kulo,original,0.4693,False
5.7,470,84,1050,27.4,89,Kulo,original,0.4693,False
6.8,405,79,1900,28.0,84,Kulo,original,0.143,False
5.7,420,81,950,28.0,80,Kulo,original,0.0009,False
6.1,390,76,1850,28.3,78,Kulo,original,0.2751,False
4.0,632,62,8077,29.5,99,Kulo,original,0.2547,False
5.7,420,81,950,28.0,80,Lipote,original,0.0626,False
5.5,485,76,2400,28.9,87,Lipote,original,0.0564,False
6.1,390,76,1850,28.3,78,Orchid,original,0.2144,False
6.8,405,79,1900,28.0,84,Orchid,original,0.2194,False
5.7,470,84,1050,27.4,89,Orchid,original,0.1253,False
5.7,420,81,950,28.0,80,Orchid,original,0.0,False
4.0,632,62,8077,29.5,99,Orchid,original,0.3522,False
6.0,517,88,1094,28.5,99,Orchid,original,0.085,False
6.0,400,80,1000,27.9,80,Orchid,original,0.0,False
6.0,517,88,1094,28.5,99,Mango,original,0.4979,False
6.0,400,80,1000,27.9,80,Mango,original,0.8435,True
6.1,390,76,1850,28.3,78,Mango,original,0.2271,False
6.8,405,79,1900,28.0,84,Mango,original,0.1618,False
5.7,470,84,1050,27.4,89,Mango,original,0.0036,False
5.7,420,81,950,28.0,80,Mango,original,0.0475,False
4.0,632,62,8077,29.5,99,Mango,original,0.3175,False
6.0,435,79,2000,28.1,82,Papaya,original,0.448,False
5.5,450,86,700,26.5,87,Papaya,original,0.2842,False
6.6,535,75,2600,28.7,94,Pechay,original,0.242,False
6.9,540,76,2700,29.0,93,Pechay,original,0.2653,False
6.3,525,74,3200,29.1,88,Pechay,original,0.1897,False
6.7,530,74,3000,29.5,92,Pechay,original,0.1463,False
6.3,526,72,3180,29.2,89,Pechay,original,0.1852,False
6.7,529,73,3010,29.2,87,Pechay,original,0.2192,False
6.3,527,71,3160,29.0,90,Pechay,original,0.3201,False
6.7,528,73,3050,29.2,91,Pechay,original,0.2296,False
5.3,520,77,2800,28.8,86,Pineapple,original,0.0774,False
5.4,500,77,2900,28.6,88,Pineapple,original,0.9689,True
4.0,594,73,39100,34.1,99,Pineapple,original,0.98,True
5.5,440,76,21062,31.5,99,Pineapple,original,0.98,True
9.0,624,72,43700,33.5,99,Pineapple,original,0.9433,True
5.7,420,81,950,28.0,80,Eggplant,original,0.6809,True
5.5,485,76,2400,28.9,87,Eggplant,original,0.6151,True
5.5,485,76,2400,28.9,87,Sili Labuyo,original,0.4594,False
5.7,420,81,950,28.0,80,Sili Labuyo,original,0.0582,False
6.3,525,74,3200,29.1,88,Ampalaya,original,0.6154,True
6.7,530,74,3000,29.5,92,Ampalaya,original,0.3695,False
6.3,526,72,3180,29.2,89,Ampalaya,original,0.3474,False
6.7,529,73,3010,29.2,87,Ampalaya,original,0.4525,False
6.3,527,71,3160,29.0,90,Ampalaya,original,0.2581,False
6.7,528,73,3050,29.2,91,Ampalaya,original,0.4807,False
5.7,420,81,950,28.0,80,Eggplant,original,0.6809,True
5.5,485,76,2400,28.9,87,Eggplant,original,0.6151,True
5.5,485,76,2400,28.9,87,Sili Labuyo,original,0.4594,False
5.7,420,81,950,28.0,80,Sili Labuyo,original,0.0582,False
5.5,485,76,2400,28.9,87,Sili Labuyo,original,0.4594,False
6.7,530,74,3000,29.5,92,Sili Labuyo,original,0.3025,False
6.3,525,74,3200,29.1,88,Sili Labuyo,original,0.0002,False
6.3,526,72,3180,29.2,89,Sili Labuyo,original,0.0919,False
6.7,529,73,3010,29.2,87,Sili Labuyo,original,0.1345,False
6.3,527,71,3160,29.0,90,Sili Labuyo,original,0.1725,False
6.7,528,73,3050,29.2,91,Sili Labuyo,original,0.1094,False
6.9,540,76,2700,29.0,93,Sili Labuyo,original,0.4707,False
6.6,535,75,2600,28.7,94,Sili Labuyo,original,0.1938,False
6.9,540,76,2700,29.0,93,Sili Labuyo,original,0.4707,False
6.6,535,75,2600,28.7,94,Sili Labuyo,original,0.1938,False
6.9,540,76,2700,29.0,93,Sili Labuyo,original,0.4707,False
6.2,410,78,2200,28.4,83,Sili Labuyo,original,0.3631,False
6.7,530,74,3000,29.5,92,Squash,original,0.2098,False
6.3,525,74,3200,29.1,88,Squash,original,0.2239,False
6.3,526,72,3180,29.2,89,Squash,original,0.1657,False
6.7,529,73,3010,29.2,87,Squash,original,0.0964,False
6.3,527,71,3160,29.0,90,Squash,original,0.1685,False
6.7,528,73,3050,29.2,91,Squash,original,0.185,False
6.4,495,81,1650,27.8,92,Sweet Potato,original,0.7805,True
6.8,550,75,2500,29.2,95,Sweet Potato,original,0.2291,False
5.4,470,83,1300,27.9,90,Sweet Potato,original,0.138,False
4.0,771,79,8280,28.8,99,Sweet Potato,original,0.0,False
4.5,810,66,9337,29.3,99,Sweet Potato,original,0.4606,False
6.0,515,78,2750,28.4,89,Sweet Sorghum,original,0.4235,False
6.2,480,82,1500,27.5,90,Sweet Sorghum,original,0.1877,False
5.3,520,77,2800,28.8,86,Sweet Sorghum,original,0.1977,False
6.0,515,78,2750,28.4,89,Sweet Sorghum,original,0.4235,False
6.2,480,82,1500,27.5,90,Sweet Sorghum,original,0.1877,False
5.3,520,77,2800,28.8,86,Sweet Sorghum,original,0.1977,False
6.9,540,76,2700,29.0,93,String Bean,original,0.2319,False
6.6,535,75,2600,28.7,94,String Bean,original,0.2248,False
6.5,465,82,1200,27.6,95,Gabi,original,1.0,True
6.5,485,82,1200,27.5,98,Gabi,original,0.73,True
6.7,470,84,1000,27.1,96,Gabi,original,0.94,True
6.4,475,80,1300,28.3,97,Gabi,original,0.0267,False
6.7,460,85,1100,27.3,99,Gabi,original,0.9333,True
6.3,505,83,1400,27.6,94,Gabi,original,0.69,True
6.8,480,80,1600,28.0,96,Gabi,original,0.3367,False
6.6,495,81,1500,27.9,95,Gabi,original,0.7033,True
6.9,540,76,2700,29.0,93,Upo,original,0.2698,False
6.6,535,75,2600,28.7,94,Upo,original,0.2582,False
6.3,525,74,3200,29.1,88,Upo,original,0.1922,False
6.7,530,74,3000,29.5,92,Upo,original,0.0351,False
6.3,526,72,3180,29.2,89,Upo,original,0.1971,False
6.7,529,73,3010,29.2,87,Upo,original,0.1544,False
6.3,527,71,3160,29.0,90,Upo,original,0.1449,False
6.7,528,73,3050,29.2,91,Upo,original,0.1689,False
5.4,470,83,1300,27.9,90,Ube,original,0.6294,True
6.8,550,75,2500,29.2,95,Ube,original,0.2224,False
6.4,495,81,1650,27.8,92,Ube,original,0.5447,False
5.4,470,83,1300,27.9,90,Ube,original,0.6294,True
4.0,771,79,8280,28.8,99,Ube,original,0.6933,True
4.5,810,66,9337,29.3,99,Ube,original,0.4176,False
6.3,525,74,2997,27.1,88,Ampalaya,augmented_smote,0.8861,True
6.3,520,72,3174,29.1,89,Ampalaya,augmented_smote,0.7079,True
6.3,521,72,3182,31.2,89,Ampalaya,augmented_smote,0.8665,True
6.3,522,72,3180,29.2,89,Ampalaya,augmented_smote,0.7641,True
6.7,523,74,3003,29.4,90,Ampalaya,augmented_smote,0.7583,True
6.7,529,73,3010,29.2,87,Ampalaya,augmented_smote,0.4525,False
6.3,526,72,3179,29.2,89,Ampalaya,augmented_smote,0.1934,False
6.7,529,71,3023,30.4,92,Ampalaya,augmented_smote,0.8655,True
6.3,525,73,3194,29.1,88,Ampalaya,augmented_smote,0.4647,False
6.3,526,72,3181,29.2,89,Ampalaya,augmented_smote,0.3543,False
6.7,529,73,3032,29.3,91,Ampalaya,augmented_smote,0.3681,False
6.3,526,72,2980,29.2,89,Ampalaya,augmented_smote,0.6952,True
6.3,535,71,3169,29.0,90,Ampalaya,augmented_smote,0.6397,True
6.3,527,72,3164,29.0,90,Ampalaya,augmented_smote,0.4383,False
6.3,535,73,3191,30.1,88,Ampalaya,augmented_smote,0.6491,True
6.3,525,74,3200,29.1,88,Ampalaya,augmented_smote,0.6154,True
6.7,528,71,3047,29.2,91,Ampalaya,augmented_smote,0.8599,True
6.7,528,73,3046,29.2,91,Ampalaya,augmented_smote,0.5078,False
6.3,526,73,3188,27.1,89,Ampalaya,augmented_smote,0.9012,True
6.7,529,74,3017,29.4,92,Ampalaya,augmented_smote,0.3819,False
6.7,532,74,2900,31.5,92,Ampalaya,augmented_smote,0.5481,False
6.3,535,73,3192,29.1,88,Ampalaya,augmented_smote,0.6705,True
6.3,527,77,3168,29.1,90,Ampalaya,augmented_smote,0.5629,False
6.3,526,72,3180,29.2,89,Ampalaya,augmented_smote,0.3474,False
6.7,529,73,3010,31.2,87,Ampalaya,augmented_smote,0.725,True
6.3,523,73,3185,29.2,89,Ampalaya,augmented_smote,0.6875,True
6.3,526,76,3180,31.2,89,Ampalaya,augmented_smote,0.9311,True
6.3,525,73,3192,29.1,88,Ampalaya,augmented_smote,0.3559,False
6.3,521,72,3160,29.0,90,Ampalaya,augmented_smote,0.7955,True
6.3,527,72,3162,27.0,90,Ampalaya,augmented_smote,0.956,True
6.3,526,71,3189,29.2,89,Ampalaya,augmented_smote,0.5859,False
6.7,529,73,3008,29.3,88,Ampalaya,augmented_smote,0.2438,False
6.3,526,73,3180,29.1,89,Ampalaya,augmented_smote,0.2608,False
6.7,529,71,3026,29.3,91,Ampalaya,augmented_smote,0.8159,True
6.7,529,73,3007,29.3,88,Ampalaya,augmented_smote,0.132,False
6.3,525,74,3198,29.1,88,Ampalaya,augmented_smote,0.1175,False
6.7,528,73,3036,29.2,90,Ampalaya,augmented_smote,0.3599,False
6.7,532,74,2904,29.5,92,Ampalaya,augmented_smote,0.5852,False
6.7,529,73,3006,29.3,89,Ampalaya,augmented_smote,0.1097,False
6.7,529,73,3026,27.2,89,Ampalaya,augmented_smote,0.9191,True
6.3,527,72,3169,29.0,90,Ampalaya,augmented_smote,0.3361,False
6.7,529,71,3011,29.2,87,Ampalaya,augmented_smote,0.8599,True
6.7,528,73,3050,29.2,91,Ampalaya,augmented_smote,0.4807,False
6.3,525,74,3200,31.1,88,Ampalaya,augmented_smote,0.8766,True
6.7,521,73,3034,29.3,91,Ampalaya,augmented_smote,0.8243,True
6.3,526,72,3173,29.1,89,Ampalaya,augmented_smote,0.2602,False
6.3,526,71,3171,29.1,89,Ampalaya,augmented_smote,0.2683,False
6.7,528,73,3048,27.2,91,Ampalaya,augmented_smote,0.9381,True
6.3,526,75,3171,29.0,89,Ampalaya,augmented_smote,0.6697,True
6.3,525,73,3192,29.1,88,Ampalaya,augmented_smote,0.3559,False
6.7,520,73,3019,29.2,88,Ampalaya,augmented_smote,0.5112,False
6.7,528,77,3050,29.2,91,Ampalaya,augmented_smote,0.5149,False
6.3,527,72,3160,29.0,90,Ampalaya,augmented_smote,0.4708,False
6.3,527,72,3160,31.0,90,Ampalaya,augmented_smote,0.7691,True
6.3,522,72,2968,29.1,90,Ampalaya,augmented_smote,0.7392,True
6.3,526,77,3190,29.2,89,Ampalaya,augmented_smote,0.8279,True
6.7,529,73,3032,28.3,91,Ampalaya,augmented_smote,0.756,True
6.7,529,73,3010,29.2,87,Ampalaya,augmented_smote,0.4525,False
6.7,530,74,3002,29.4,91,Ampalaya,augmented_smote,0.2131,False
6.7,530,74,3000,27.5,92,Ampalaya,augmented_smote,0.618,True
6.7,521,73,3019,29.2,88,Ampalaya,augmented_smote,0.5451,False
6.7,529,76,3017,29.2,88,Ampalaya,augmented_smote,0.6093,True
6.7,533,77,3010,29.2,87,Ampalaya,augmented_smote,0.4877,False
6.3,525,74,3199,29.1,88,Ampalaya,augmented_smote,0.5515,False
6.7,529,73,3009,29.2,88,Ampalaya,augmented_smote,0.3142,False
6.3,527,72,3163,28.0,90,Ampalaya,augmented_smote,0.7927,True
6.7,528,73,3050,29.2,91,Ampalaya,augmented_smote,0.4807,False
6.3,526,72,2980,29.2,89,Ampalaya,augmented_smote,0.6952,True
6.7,529,73,3025,29.2,88,Ampalaya,augmented_smote,0.1721,False
6.7,528,77,3032,29.2,89,Ampalaya,augmented_smote,0.4953,False
6.3,526,76,3183,29.1,89,Ampalaya,augmented_smote,0.7775,True
6.3,525,74,3200,27.1,88,Ampalaya,augmented_smote,0.9378,True
6.3,525,74,3200,29.1,88,Ampalaya,augmented_smote,0.6154,True
6.7,528,73,3050,29.2,91,Ampalaya,augmented_smote,0.4807,False
6.3,526,72,3184,29.2,89,Ampalaya,augmented_smote,0.3223,False
6.7,530,74,3000,28.5,92,Ampalaya,augmented_smote,0.4358,False
6.3,527,72,3163,29.0,90,Ampalaya,augmented_smote,0.4138,False
6.7,528,73,3040,29.2,90,Ampalaya,augmented_smote,0.2871,False
6.3,527,72,3169,29.1,90,Ampalaya,augmented_smote,0.4488,False
6.7,530,74,3012,29.4,92,Ampalaya,augmented_smote,0.5405,False
6.7,528,73,2935,29.2,90,Ampalaya,augmented_smote,0.5101,False
6.7,530,74,3012,29.4,92,Ampalaya,augmented_smote,0.5405,False
6.7,528,73,3039,29.3,91,Ampalaya,augmented_smote,0.5011,False
6.3,525,74,3200,29.1,88,Ampalaya,augmented_smote,0.6154,True
6.3,527,72,3169,28.1,90,Ampalaya,augmented_smote,0.7416,True
6.3,526,73,3186,29.2,89,Ampalaya,augmented_smote,0.3804,False
6.3,524,72,3176,29.0,89,Ampalaya,augmented_smote,0.3303,False
6.7,529,73,2909,28.2,88,Ampalaya,augmented_smote,0.6861,True
5.7,421,83,1043,27.2,85,Cacao,augmented_smote,0.9157,True
5.8,409,84,975,27.1,86,Cacao,augmented_smote,0.9891,True
5.6,421,85,876,26.9,86,Cacao,augmented_smote,0.9843,True
5.8,408,86,893,26.9,85,Cacao,augmented_smote,0.9633,True
5.5,411,87,775,26.6,85,Cacao,augmented_smote,0.9968,True
5.7,427,87,937,27.0,86,Cacao,augmented_smote,0.955,True
5.8,413,85,938,27.1,86,Cacao,augmented_smote,0.9789,True
5.8,419,85,930,27.0,86,Cacao,augmented_smote,0.995,True
5.9,416,85,972,27.2,87,Cacao,augmented_smote,0.9654,True
5.7,422,83,1032,27.2,85,Cacao,augmented_smote,0.9461,True
5.6,419,88,861,26.7,87,Cacao,augmented_smote,0.9896,True
5.6,436,85,929,27.0,85,Cacao,augmented_smote,0.9062,True
5.5,413,87,761,26.6,84,Cacao,augmented_smote,0.9193,True
5.7,407,87,882,26.9,87,Cacao,augmented_smote,0.9667,True
5.8,414,85,937,27.0,86,Cacao,augmented_smote,0.9676,True
5.7,406,85,906,27.1,86,Cacao,augmented_smote,0.9896,True
5.7,405,85,904,27.1,86,Cacao,augmented_smote,0.9889,True
5.9,406,85,957,27.1,86,Cacao,augmented_smote,0.9787,True
5.6,433,86,900,26.9,85,Cacao,augmented_smote,0.959,True
5.5,412,87,773,26.6,85,Cacao,augmented_smote,0.9901,True
5.6,438,85,917,27.0,86,Cacao,augmented_smote,0.8298,True
5.8,412,86,932,27.0,86,Cacao,augmented_smote,0.9883,True
5.5,410,89,802,26.6,89,Cacao,augmented_smote,0.9759,True
5.8,427,84,1016,27.3,87,Cacao,augmented_smote,0.8408,True
5.6,422,88,851,26.7,85,Cacao,augmented_smote,0.9696,True
5.9,405,85,950,27.1,86,Cacao,augmented_smote,0.6989,True
5.7,404,85,885,27.0,87,Cacao,augmented_smote,0.9756,True
5.8,413,84,1000,27.2,85,Cacao,augmented_smote,0.9719,True
5.6,417,87,884,26.9,86,Cacao,augmented_smote,0.9967,True
5.9,408,85,967,27.1,86,Cacao,augmented_smote,0.9937,True
5.6,433,86,900,26.9,85,Cacao,augmented_smote,0.959,True
5.7,420,87,912,26.9,85,Cacao,augmented_smote,0.9534,True
5.9,408,85,955,27.1,86,Cacao,augmented_smote,0.9943,True
5.8,418,84,975,27.2,87,Cacao,augmented_smote,0.9961,True
5.7,437,85,933,27.0,86,Cacao,augmented_smote,0.7786,True
5.6,420,88,869,26.7,86,Cacao,augmented_smote,0.9884,True
5.7,400,86,854,27.0,87,Cacao,augmented_smote,0.9996,True
5.8,426,84,1020,27.3,87,Cacao,augmented_smote,0.86,True
5.9,417,85,974,27.2,87,Cacao,augmented_smote,0.9487,True
5.7,434,84,964,27.2,87,Cacao,augmented_smote,0.6502,True
5.6,413,87,876,26.9,86,Cacao,augmented_smote,0.9967,True
5.5,422,87,840,26.7,87,Cacao,augmented_smote,0.995,True
5.7,408,85,929,27.1,86,Cacao,augmented_smote,0.9959,True
5.9,406,85,958,27.1,86,Cacao,augmented_smote,0.9798,True
5.6,418,88,856,26.7,87,Cacao,augmented_smote,0.9896,True
5.6,425,88,898,26.8,85,Cacao,augmented_smote,0.8301,True
5.9,408,85,956,27.1,86,Cacao,augmented_smote,0.9943,True
5.6,438,85,894,26.9,85,Cacao,augmented_smote,0.8455,True
5.7,433,84,965,27.2,87,Cacao,augmented_smote,0.8913,True
5.7,401,86,851,27.0,87,Cacao,augmented_smote,0.9963,True
5.6,418,87,886,26.9,86,Cacao,augmented_smote,0.9933,True
5.7,419,83,1042,27.2,85,Cacao,augmented_smote,0.9558,True
5.6,409,87,790,26.7,85,Cacao,augmented_smote,0.9968,True
5.6,429,87,900,26.8,85,Cacao,augmented_smote,0.962,True
5.6,407,88,816,26.7,88,Cacao,augmented_smote,0.9126,True
5.7,423,83,1037,27.2,86,Cacao,augmented_smote,0.9011,True
5.8,417,85,933,27.0,86,Cacao,augmented_smote,0.9916,True
5.5,412,88,782,26.6,87,Cacao,augmented_smote,0.9868,True
5.7,420,83,1050,27.2,85,Cacao,augmented_smote,0.4882,False
5.9,405,85,949,27.1,86,Cacao,augmented_smote,0.9111,True
5.9,408,85,971,27.1,86,Cacao,augmented_smote,0.9941,True
5.9,404,85,930,27.1,86,Cacao,augmented_smote,0.9669,True
5.5,416,87,767,26.5,84,Cacao,augmented_smote,0.88,True
5.5,411,89,805,26.6,89,Cacao,augmented_smote,0.9726,True
5.6,416,87,882,26.9,86,Cacao,augmented_smote,0.9933,True
5.5,420,87,780,26.6,84,Cacao,augmented_smote,0.9601,True
5.6,423,88,897,26.8,85,Cacao,augmented_smote,0.9124,True
5.7,419,83,1043,27.2,85,Cacao,augmented_smote,0.9458,True
5.5,410,89,797,26.6,89,Cacao,augmented_smote,0.9759,True
5.8,430,84,996,27.3,88,Cacao,augmented_smote,0.5552,False
5.5,418,87,790,26.6,84,Cacao,augmented_smote,0.9701,True
5.7,423,85,924,27.0,85,Cacao,augmented_smote,0.9589,True
5.7,431,85,913,27.0,85,Cacao,augmented_smote,0.8332,True
5.6,418,87,885,26.9,86,Cacao,augmented_smote,0.9967,True
5.5,425,87,849,26.7,87,Cacao,augmented_smote,0.9867,True
5.7,400,86,852,27.0,87,Cacao,augmented_smote,0.9996,True
5.6,431,84,971,27.0,85,Cacao,augmented_smote,0.951,True
5.6,424,88,904,26.8,85,Cacao,augmented_smote,0.8737,True
5.8,428,84,1009,27.3,87,Cacao,augmented_smote,0.7781,True
5.8,410,84,980,27.1,86,Cacao,augmented_smote,0.9487,True
5.6,407,88,813,26.7,88,Cacao,augmented_smote,0.9159,True
5.7,400,86,858,27.0,87,Cacao,augmented_smote,0.9996,True
5.7,422,85,993,27.0,85,Cacao,augmented_smote,0.9257,True
5.6,419,88,889,26.8,85,Cacao,augmented_smote,0.9729,True
5.6,431,86,869,26.8,86,Cacao,augmented_smote,0.9552,True
5.6,430,87,900,26.8,85,Cacao,augmented_smote,0.967,True
5.8,423,84,964,27.2,88,Cacao,augmented_smote,0.9058,True
5.6,429,87,900,26.8,85,Cacao,augmented_smote,0.962,True
5.6,439,85,908,26.9,85,Cacao,augmented_smote,0.8904,True
5.7,417,87,920,26.9,85,Cacao,augmented_smote,0.9711,True
5.6,415,87,879,26.9,86,Cacao,augmented_smote,0.9633,True
5.8,411,84,991,27.1,86,Cacao,augmented_smote,0.9554,True
3.6,878,68,4145,30.5,98,Lanzones,augmented_smote,0.97,True
5.9,500,84,1015,27.1,87,Lanzones,augmented_smote,0.9865,True
4.8,665,77,2334,28.5,91,Lanzones,augmented_smote,0.9795,True
5.7,509,84,1013,27.0,86,Lanzones,augmented_smote,0.8702,True
5.0,624,79,1992,28.1,90,Lanzones,augmented_smote,0.8765,True
4.6,716,75,2830,29.1,94,Lanzones,augmented_smote,0.99,True
4.5,715,75,2765,29.0,93,Lanzones,augmented_smote,0.9929,True
