,Pred_Ampalaya,Pred_Avocado,Pred_Bamboo,Pred_Banana,Pred_Black Pepper,Pred_Cacao,Pred_Calamansi,Pred_Cassava,Pred_Coconut,Pred_Coffee,Pred_Eggplant,Pred_Forage Grass,Pred_Gabi,Pred_Ginger,Pred_Ipil Ipil,Pred_Jackfruit,Pred_Katuray,Pred_Kulo,Pred_Lanzones,Pred_Lipote,Pred_Maize,Pred_Mango,Pred_Orchid,Pred_Papaya,Pred_Pechay,Pred_Pineapple,Pred_Rambutan,Pred_Rice,Pred_Sili Labuyo,Pred_Squash,Pred_String Bean,Pred_Sweet Potato,Pred_Sweet Sorghum,Pred_Ube,Pred_Upo
True_Maize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,2,0,0
True_Mango,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0
True_Orchid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0
True_Papaya,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
True_Pechay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,5
True_Pineapple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0,1,0,0
True_Rambutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
True_Rice,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,0,0,1,0,0,0,0
True_Sili Labuyo,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2
True_Squash,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
True_String Bean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,11,0,0,0,2
True_Sweet Potato,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0
True_Sweet Sorghum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0
True_Ube,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27,0
True_Upo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,12
