soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label,source
6.2,480,82,1500,27.5,90,Maize,original
5.3,520,77,2800,28.8,86,Maize,original
6.0,515,78,2750,28.4,89,Maize,original
6.8,550,75,2500,29.2,95,Maize,original
6.0,515,78,2750,28.4,89,Maize,original
6.2,480,82,1500,27.5,90,Maize,original
5.3,520,77,2800,28.8,86,Maize,original
6.8,405,79,1900,28.0,84,Maize,original
6.5,475,80,1215,27.0,99,Coffee,original
5.5,450,86,700,26.5,87,Coffee,original
6.5,474,81,1215,27.0,98,Coffee,original
5.6,456,85,720,26.5,88,Coffee,original
6.5,470,83,1235,27.0,97,Coffee,original
5.7,456,85,720,26.5,88,Coffee,original
6.8,405,79,1900,28.0,84,Forage Grass,original
6.8,550,75,2500,29.2,95,Forage Grass,original
6.2,480,82,1500,27.5,90,Forage Grass,original
5.3,520,77,2800,28.8,86,Forage Grass,original
6.0,515,78,2750,28.4,89,Forage Grass,original
6.0,515,78,2750,28.4,89,Forage Grass,original
6.2,480,82,1500,27.5,90,Forage Grass,original
5.3,520,77,2800,28.8,86,Forage Grass,original
6.3,460,78,1800,28.2,90,Ginger,original
5.5,455,85,1150,27.1,85,Ginger,original
6.4,500,80,1900,27.7,93,Ginger,original
6.2,530,79,2400,28.2,91,Ginger,original
6.0,525,81,2000,27.8,94,Ginger,original
6.1,515,77,2500,28.4,88,Ginger,original
6.5,490,80,1800,28.0,92,Ginger,original
6.3,505,78,2200,27.5,90,Ginger,original
5.9,485,83,1500,26.9,89,Ginger,original
6.2,410,78,2200,28.4,83,Ipil Ipil,original
6.8,405,79,1900,28.0,84,Ipil Ipil,original
5.7,470,84,1050,27.4,89,Jackfruit,original
6.8,405,79,1900,28.0,84,Jackfruit,original
5.7,420,81,950,28.0,80,Jackfruit,original
6.1,390,76,1850,28.3,78,Jackfruit,original
4.0,632,62,8077,29.5,99,Jackfruit,original
6.0,517,88,1094,28.5,99,Mango,original
6.0,400,80,1000,27.9,80,Mango,original
5.8,490,85,850,26.8,85,Lanzones,original
5.9,505,84,1100,27.3,88,Lanzones,original
3.5,898,67,4316,30.7,99,Lanzones,original
5.8,490,85,850,26.8,85,Rambutan,original
5.9,505,84,1100,27.3,88,Rambutan,original
6.5,745,81,2090,27.8,99,Rambutan,original
5.9,455,84,1050,27.0,85,Rambutan,original
6.0,435,83,1150,27.4,83,Rambutan,original
5.8,460,85,950,27.2,87,Rambutan,original
5.6,450,86,1000,26.8,84,Rambutan,original
6.1,465,82,1250,27.5,86,Rambutan,original
5.5,445,88,800,26.6,81,Rambutan,original
5.7,440,87,900,26.7,82,Rambutan,original
6.8,550,75,2500,29.2,95,Rice,original
6.2,480,82,1500,27.5,90,Rice,original
5.3,520,77,2800,28.8,86,Rice,original
6.0,515,78,2750,28.4,89,Rice,original
6.0,515,78,2750,28.4,89,Rice,original
6.2,480,82,1500,27.5,90,Rice,original
5.3,520,77,2800,28.8,86,Rice,original
6.8,405,79,1900,28.0,84,Rice,original
6.8,550,75,2500,29.2,95,Banana,original
6.4,495,81,1650,27.8,92,Banana,original
5.4,470,83,1300,27.9,90,Banana,original
4.0,771,79,8280,28.8,99,Banana,original
4.5,810,66,9337,29.3,99,Banana,original
6.2,410,78,2200,28.4,83,Katuray,original
6.8,405,79,1900,28.0,84,Katuray,original
5.7,470,84,1050,27.4,89,Kulo,original
5.7,470,84,1050,27.4,89,Kulo,original
6.8,405,79,1900,28.0,84,Kulo,original
5.7,420,81,950,28.0,80,Kulo,original
6.1,390,76,1850,28.3,78,Kulo,original
4.0,632,62,8077,29.5,99,Kulo,original
5.7,420,81,950,28.0,80,Lipote,original
5.5,485,76,2400,28.9,87,Lipote,original
6.1,390,76,1850,28.3,78,Orchid,original
6.8,405,79,1900,28.0,84,Orchid,original
5.7,470,84,1050,27.4,89,Orchid,original
5.7,420,81,950,28.0,80,Orchid,original
4.0,632,62,8077,29.5,99,Orchid,original
6.0,517,88,1094,28.5,99,Orchid,original
6.0,400,80,1000,27.9,80,Orchid,original
6.0,517,88,1094,28.5,99,Mango,original
6.0,400,80,1000,27.9,80,Mango,original
6.1,390,76,1850,28.3,78,Mango,original
6.8,405,79,1900,28.0,84,Mango,original
5.7,470,84,1050,27.4,89,Mango,original
5.7,420,81,950,28.0,80,Mango,original
4.0,632,62,8077,29.5,99,Mango,original
6.0,435,79,2000,28.1,82,Papaya,original
5.5,450,86,700,26.5,87,Papaya,original
6.6,535,75,2600,28.7,94,Pechay,original
6.9,540,76,2700,29.0,93,Pechay,original
6.3,525,74,3200,29.1,88,Pechay,original
6.7,530,74,3000,29.5,92,Pechay,original
6.3,526,72,3180,29.2,89,Pechay,original
6.7,529,73,3010,29.2,87,Pechay,original
6.3,527,71,3160,29.0,90,Pechay,original
6.7,528,73,3050,29.2,91,Pechay,original
5.3,520,77,2800,28.8,86,Pineapple,original
5.4,500,77,2900,28.6,88,Pineapple,original
4.0,594,73,39100,34.1,99,Pineapple,original
5.5,440,76,21062,31.5,99,Pineapple,original
9.0,624,72,43700,33.5,99,Pineapple,original
5.7,420,81,950,28.0,80,Eggplant,original
5.5,485,76,2400,28.9,87,Eggplant,original
5.5,485,76,2400,28.9,87,Sili Labuyo,original
5.7,420,81,950,28.0,80,Sili Labuyo,original
6.3,525,74,3200,29.1,88,Ampalaya,original
6.7,530,74,3000,29.5,92,Ampalaya,original
6.3,526,72,3180,29.2,89,Ampalaya,original
6.7,529,73,3010,29.2,87,Ampalaya,original
6.3,527,71,3160,29.0,90,Ampalaya,original
6.7,528,73,3050,29.2,91,Ampalaya,original
5.7,420,81,950,28.0,80,Eggplant,original
5.5,485,76,2400,28.9,87,Eggplant,original
5.5,485,76,2400,28.9,87,Sili Labuyo,original
5.7,420,81,950,28.0,80,Sili Labuyo,original
5.5,485,76,2400,28.9,87,Sili Labuyo,original
6.7,530,74,3000,29.5,92,Sili Labuyo,original
6.3,525,74,3200,29.1,88,Sili Labuyo,original
6.3,526,72,3180,29.2,89,Sili Labuyo,original
6.7,529,73,3010,29.2,87,Sili Labuyo,original
6.3,527,71,3160,29.0,90,Sili Labuyo,original
6.7,528,73,3050,29.2,91,Sili Labuyo,original
6.9,540,76,2700,29.0,93,Sili Labuyo,original
6.6,535,75,2600,28.7,94,Sili Labuyo,original
6.9,540,76,2700,29.0,93,Sili Labuyo,original
6.6,535,75,2600,28.7,94,Sili Labuyo,original
6.9,540,76,2700,29.0,93,Sili Labuyo,original
6.2,410,78,2200,28.4,83,Sili Labuyo,original
6.7,530,74,3000,29.5,92,Squash,original
6.3,525,74,3200,29.1,88,Squash,original
6.3,526,72,3180,29.2,89,Squash,original
6.7,529,73,3010,29.2,87,Squash,original
6.3,527,71,3160,29.0,90,Squash,original
6.7,528,73,3050,29.2,91,Squash,original
6.4,495,81,1650,27.8,92,Sweet Potato,original
6.8,550,75,2500,29.2,95,Sweet Potato,original
5.4,470,83,1300,27.9,90,Sweet Potato,original
4.0,771,79,8280,28.8,99,Sweet Potato,original
4.5,810,66,9337,29.3,99,Sweet Potato,original
6.0,515,78,2750,28.4,89,Sweet Sorghum,original
6.2,480,82,1500,27.5,90,Sweet Sorghum,original
5.3,520,77,2800,28.8,86,Sweet Sorghum,original
6.0,515,78,2750,28.4,89,Sweet Sorghum,original
6.2,480,82,1500,27.5,90,Sweet Sorghum,original
5.3,520,77,2800,28.8,86,Sweet Sorghum,original
6.9,540,76,2700,29.0,93,String Bean,original
6.6,535,75,2600,28.7,94,String Bean,original
6.5,465,82,1200,27.6,95,Gabi,original
6.5,485,82,1200,27.5,98,Gabi,original
6.7,470,84,1000,27.1,96,Gabi,original
6.4,475,80,1300,28.3,97,Gabi,original
6.7,460,85,1100,27.3,99,Gabi,original
6.3,505,83,1400,27.6,94,Gabi,original
6.8,480,80,1600,28.0,96,Gabi,original
6.6,495,81,1500,27.9,95,Gabi,original
6.9,540,76,2700,29.0,93,Upo,original
6.6,535,75,2600,28.7,94,Upo,original
6.3,525,74,3200,29.1,88,Upo,original
6.7,530,74,3000,29.5,92,Upo,original
6.3,526,72,3180,29.2,89,Upo,original
6.7,529,73,3010,29.2,87,Upo,original
6.3,527,71,3160,29.0,90,Upo,original
6.7,528,73,3050,29.2,91,Upo,original
5.4,470,83,1300,27.9,90,Ube,original
6.8,550,75,2500,29.2,95,Ube,original
6.4,495,81,1650,27.8,92,Ube,original
5.4,470,83,1300,27.9,90,Ube,original
4.0,771,79,8280,28.8,99,Ube,original
4.5,810,66,9337,29.3,99,Ube,original
6.3,525,74,2997,27.1,88,Ampalaya,augmented_smote
6.3,520,72,3174,29.1,89,Ampalaya,augmented_smote
6.3,521,72,3182,31.2,89,Ampalaya,augmented_smote
6.3,522,72,3180,29.2,89,Ampalaya,augmented_smote
6.7,523,74,3003,29.4,90,Ampalaya,augmented_smote
6.7,529,73,3010,29.2,87,Ampalaya,augmented_smote
6.3,526,72,3179,29.2,89,Ampalaya,augmented_smote
6.7,529,71,3023,30.4,92,Ampalaya,augmented_smote
6.3,525,73,3194,29.1,88,Ampalaya,augmented_smote
6.3,526,72,3181,29.2,89,Ampalaya,augmented_smote
6.7,529,73,3032,29.3,91,Ampalaya,augmented_smote
6.3,526,72,2980,29.2,89,Ampalaya,augmented_smote
6.3,535,71,3169,29.0,90,Ampalaya,augmented_smote
6.3,527,72,3164,29.0,90,Ampalaya,augmented_smote
6.3,535,73,3191,30.1,88,Ampalaya,augmented_smote
6.3,525,74,3200,29.1,88,Ampalaya,augmented_smote
6.7,528,71,3047,29.2,91,Ampalaya,augmented_smote
6.7,528,73,3046,29.2,91,Ampalaya,augmented_smote
6.3,526,73,3188,27.1,89,Ampalaya,augmented_smote
6.7,529,74,3017,29.4,92,Ampalaya,augmented_smote
6.7,532,74,2900,31.5,92,Ampalaya,augmented_smote
6.3,535,73,3192,29.1,88,Ampalaya,augmented_smote
6.3,527,77,3168,29.1,90,Ampalaya,augmented_smote
6.3,526,72,3180,29.2,89,Ampalaya,augmented_smote
6.7,529,73,3010,31.2,87,Ampalaya,augmented_smote
6.3,523,73,3185,29.2,89,Ampalaya,augmented_smote
6.3,526,76,3180,31.2,89,Ampalaya,augmented_smote
6.3,525,73,3192,29.1,88,Ampalaya,augmented_smote
6.3,521,72,3160,29.0,90,Ampalaya,augmented_smote
6.3,527,72,3162,27.0,90,Ampalaya,augmented_smote
6.3,526,71,3189,29.2,89,Ampalaya,augmented_smote
6.7,529,73,3008,29.3,88,Ampalaya,augmented_smote
6.3,526,73,3180,29.1,89,Ampalaya,augmented_smote
6.7,529,71,3026,29.3,91,Ampalaya,augmented_smote
6.7,529,73,3007,29.3,88,Ampalaya,augmented_smote
6.3,525,74,3198,29.1,88,Ampalaya,augmented_smote
6.7,528,73,3036,29.2,90,Ampalaya,augmented_smote
6.7,532,74,2904,29.5,92,Ampalaya,augmented_smote
6.7,529,73,3006,29.3,89,Ampalaya,augmented_smote
6.7,529,73,3026,27.2,89,Ampalaya,augmented_smote
6.3,527,72,3169,29.0,90,Ampalaya,augmented_smote
6.7,529,71,3011,29.2,87,Ampalaya,augmented_smote
6.7,528,73,3050,29.2,91,Ampalaya,augmented_smote
6.3,525,74,3200,31.1,88,Ampalaya,augmented_smote
6.7,521,73,3034,29.3,91,Ampalaya,augmented_smote
6.3,526,72,3173,29.1,89,Ampalaya,augmented_smote
6.3,526,71,3171,29.1,89,Ampalaya,augmented_smote
6.7,528,73,3048,27.2,91,Ampalaya,augmented_smote
6.3,526,75,3171,29.0,89,Ampalaya,augmented_smote
6.3,525,73,3192,29.1,88,Ampalaya,augmented_smote
6.7,520,73,3019,29.2,88,Ampalaya,augmented_smote
6.7,528,77,3050,29.2,91,Ampalaya,augmented_smote
6.3,527,72,3160,29.0,90,Ampalaya,augmented_smote
6.3,527,72,3160,31.0,90,Ampalaya,augmented_smote
6.3,522,72,2968,29.1,90,Ampalaya,augmented_smote
6.3,526,77,3190,29.2,89,Ampalaya,augmented_smote
6.7,529,73,3032,28.3,91,Ampalaya,augmented_smote
6.7,529,73,3010,29.2,87,Ampalaya,augmented_smote
6.7,530,74,3002,29.4,91,Ampalaya,augmented_smote
6.7,530,74,3000,27.5,92,Ampalaya,augmented_smote
6.7,521,73,3019,29.2,88,Ampalaya,augmented_smote
6.7,529,76,3017,29.2,88,Ampalaya,augmented_smote
6.7,533,77,3010,29.2,87,Ampalaya,augmented_smote
6.3,525,74,3199,29.1,88,Ampalaya,augmented_smote
6.7,529,73,3009,29.2,88,Ampalaya,augmented_smote
6.3,527,72,3163,28.0,90,Ampalaya,augmented_smote
6.7,528,73,3050,29.2,91,Ampalaya,augmented_smote
6.3,526,72,2980,29.2,89,Ampalaya,augmented_smote
6.7,529,73,3025,29.2,88,Ampalaya,augmented_smote
6.7,528,77,3032,29.2,89,Ampalaya,augmented_smote
6.3,526,76,3183,29.1,89,Ampalaya,augmented_smote
6.3,525,74,3200,27.1,88,Ampalaya,augmented_smote
6.3,525,74,3200,29.1,88,Ampalaya,augmented_smote
6.7,528,73,3050,29.2,91,Ampalaya,augmented_smote
6.3,526,72,3184,29.2,89,Ampalaya,augmented_smote
6.7,530,74,3000,28.5,92,Ampalaya,augmented_smote
6.3,527,72,3163,29.0,90,Ampalaya,augmented_smote
6.7,528,73,3040,29.2,90,Ampalaya,augmented_smote
6.3,527,72,3169,29.1,90,Ampalaya,augmented_smote
6.7,530,74,3012,29.4,92,Ampalaya,augmented_smote
6.7,528,73,2935,29.2,90,Ampalaya,augmented_smote
6.7,530,74,3012,29.4,92,Ampalaya,augmented_smote
6.7,528,73,3039,29.3,91,Ampalaya,augmented_smote
6.3,525,74,3200,29.1,88,Ampalaya,augmented_smote
6.3,527,72,3169,28.1,90,Ampalaya,augmented_smote
6.3,526,73,3186,29.2,89,Ampalaya,augmented_smote
6.3,524,72,3176,29.0,89,Ampalaya,augmented_smote
6.7,529,73,2909,28.2,88,Ampalaya,augmented_smote
5.7,421,83,1043,27.2,85,Cacao,augmented_smote
5.8,409,84,975,27.1,86,Cacao,augmented_smote
5.6,421,85,876,26.9,86,Cacao,augmented_smote
5.8,408,86,893,26.9,85,Cacao,augmented_smote
5.5,411,87,775,26.6,85,Cacao,augmented_smote
5.7,427,87,937,27.0,86,Cacao,augmented_smote
5.8,413,85,938,27.1,86,Cacao,augmented_smote
5.8,419,85,930,27.0,86,Cacao,augmented_smote
5.9,416,85,972,27.2,87,Cacao,augmented_smote
5.7,422,83,1032,27.2,85,Cacao,augmented_smote
5.6,419,88,861,26.7,87,Cacao,augmented_smote
5.6,436,85,929,27.0,85,Cacao,augmented_smote
5.5,413,87,761,26.6,84,Cacao,augmented_smote
5.7,407,87,882,26.9,87,Cacao,augmented_smote
5.8,414,85,937,27.0,86,Cacao,augmented_smote
5.7,406,85,906,27.1,86,Cacao,augmented_smote
5.7,405,85,904,27.1,86,Cacao,augmented_smote
5.9,406,85,957,27.1,86,Cacao,augmented_smote
5.6,433,86,900,26.9,85,Cacao,augmented_smote
5.5,412,87,773,26.6,85,Cacao,augmented_smote
5.6,438,85,917,27.0,86,Cacao,augmented_smote
5.8,412,86,932,27.0,86,Cacao,augmented_smote
5.5,410,89,802,26.6,89,Cacao,augmented_smote
5.8,427,84,1016,27.3,87,Cacao,augmented_smote
5.6,422,88,851,26.7,85,Cacao,augmented_smote
5.9,405,85,950,27.1,86,Cacao,augmented_smote
5.7,404,85,885,27.0,87,Cacao,augmented_smote
5.8,413,84,1000,27.2,85,Cacao,augmented_smote
5.6,417,87,884,26.9,86,Cacao,augmented_smote
5.9,408,85,967,27.1,86,Cacao,augmented_smote
5.6,433,86,900,26.9,85,Cacao,augmented_smote
5.7,420,87,912,26.9,85,Cacao,augmented_smote
5.9,408,85,955,27.1,86,Cacao,augmented_smote
5.8,418,84,975,27.2,87,Cacao,augmented_smote
5.7,437,85,933,27.0,86,Cacao,augmented_smote
5.6,420,88,869,26.7,86,Cacao,augmented_smote
5.7,400,86,854,27.0,87,Cacao,augmented_smote
5.8,426,84,1020,27.3,87,Cacao,augmented_smote
5.9,417,85,974,27.2,87,Cacao,augmented_smote
5.7,434,84,964,27.2,87,Cacao,augmented_smote
5.6,413,87,876,26.9,86,Cacao,augmented_smote
5.5,422,87,840,26.7,87,Cacao,augmented_smote
5.7,408,85,929,27.1,86,Cacao,augmented_smote
5.9,406,85,958,27.1,86,Cacao,augmented_smote
5.6,418,88,856,26.7,87,Cacao,augmented_smote
5.6,425,88,898,26.8,85,Cacao,augmented_smote
5.9,408,85,956,27.1,86,Cacao,augmented_smote
5.6,438,85,894,26.9,85,Cacao,augmented_smote
5.7,433,84,965,27.2,87,Cacao,augmented_smote
5.7,401,86,851,27.0,87,Cacao,augmented_smote
5.6,418,87,886,26.9,86,Cacao,augmented_smote
5.7,419,83,1042,27.2,85,Cacao,augmented_smote
5.6,409,87,790,26.7,85,Cacao,augmented_smote
5.6,429,87,900,26.8,85,Cacao,augmented_smote
5.6,407,88,816,26.7,88,Cacao,augmented_smote
5.7,423,83,1037,27.2,86,Cacao,augmented_smote
5.8,417,85,933,27.0,86,Cacao,augmented_smote
5.5,412,88,782,26.6,87,Cacao,augmented_smote
5.7,420,83,1050,27.2,85,Cacao,augmented_smote
5.9,405,85,949,27.1,86,Cacao,augmented_smote
5.9,408,85,971,27.1,86,Cacao,augmented_smote
5.9,404,85,930,27.1,86,Cacao,augmented_smote
5.5,416,87,767,26.5,84,Cacao,augmented_smote
5.5,411,89,805,26.6,89,Cacao,augmented_smote
5.6,416,87,882,26.9,86,Cacao,augmented_smote
5.5,420,87,780,26.6,84,Cacao,augmented_smote
5.6,423,88,897,26.8,85,Cacao,augmented_smote
5.7,419,83,1043,27.2,85,Cacao,augmented_smote
5.5,410,89,797,26.6,89,Cacao,augmented_smote
5.8,430,84,996,27.3,88,Cacao,augmented_smote
5.5,418,87,790,26.6,84,Cacao,augmented_smote
5.7,423,85,924,27.0,85,Cacao,augmented_smote
5.7,431,85,913,27.0,85,Cacao,augmented_smote
5.6,418,87,885,26.9,86,Cacao,augmented_smote
5.5,425,87,849,26.7,87,Cacao,augmented_smote
5.7,400,86,852,27.0,87,Cacao,augmented_smote
5.6,431,84,971,27.0,85,Cacao,augmented_smote
5.6,424,88,904,26.8,85,Cacao,augmented_smote
5.8,428,84,1009,27.3,87,Cacao,augmented_smote
5.8,410,84,980,27.1,86,Cacao,augmented_smote
5.6,407,88,813,26.7,88,Cacao,augmented_smote
5.7,400,86,858,27.0,87,Cacao,augmented_smote
5.7,422,85,993,27.0,85,Cacao,augmented_smote
5.6,419,88,889,26.8,85,Cacao,augmented_smote
5.6,431,86,869,26.8,86,Cacao,augmented_smote
5.6,430,87,900,26.8,85,Cacao,augmented_smote
5.8,423,84,964,27.2,88,Cacao,augmented_smote
5.6,429,87,900,26.8,85,Cacao,augmented_smote
5.6,439,85,908,26.9,85,Cacao,augmented_smote
5.7,417,87,920,26.9,85,Cacao,augmented_smote
5.6,415,87,879,26.9,86,Cacao,augmented_smote
5.8,411,84,991,27.1,86,Cacao,augmented_smote
3.6,878,68,4145,30.5,98,Lanzones,augmented_smote
5.9,500,84,1015,27.1,87,Lanzones,augmented_smote
4.8,665,77,2334,28.5,91,Lanzones,augmented_smote
5.7,509,84,1013,27.0,86,Lanzones,augmented_smote
5.0,624,79,1992,28.1,90,Lanzones,augmented_smote
4.6,716,75,2830,29.1,94,Lanzones,augmented_smote
4.5,715,75,2765,29.0,93,Lanzones,augmented_smote
5.1,630,79,2120,28.4,91,Lanzones,augmented_smote
5.9,500,84,1023,27.1,87,Lanzones,augmented_smote
5.9,498,84,976,27.1,87,Lanzones,augmented_smote
5.8,495,85,940,27.0,86,Lanzones,augmented_smote
5.1,629,79,2113,28.4,91,Lanzones,augmented_smote
5.8,492,85,884,26.9,85,Lanzones,augmented_smote
5.8,497,85,968,27.0,86,Lanzones,augmented_smote
4.8,659,78,2289,28.4,91,Lanzones,augmented_smote
4.3,758,73,3127,29.4,94,Lanzones,augmented_smote
3.9,829,70,3750,30.1,97,Lanzones,augmented_smote
5.7,513,84,1043,27.0,86,Lanzones,augmented_smote
5.9,504,84,1082,27.3,88,Lanzones,augmented_smote
4.6,700,76,2630,28.8,92,Lanzones,augmented_smote
5.3,596,80,1847,28.1,91,Lanzones,augmented_smote
4.3,769,73,3263,29.6,95,Lanzones,augmented_smote
5.9,503,84,1069,27.2,88,Lanzones,augmented_smote
4.5,717,75,2779,29.0,93,Lanzones,augmented_smote
4.4,755,73,3144,29.5,95,Lanzones,augmented_smote
5.9,504,84,1090,27.3,88,Lanzones,augmented_smote
4.1,795,72,3443,29.7,95,Lanzones,augmented_smote
5.8,493,85,895,26.9,86,Lanzones,augmented_smote
3.9,829,70,3751,30.1,97,Lanzones,augmented_smote
3.6,887,67,4225,30.6,99,Lanzones,augmented_smote
5.8,490,85,852,26.8,85,Lanzones,augmented_smote
4.2,782,72,3332,29.6,95,Lanzones,augmented_smote
5.8,497,85,967,27.0,86,Lanzones,augmented_smote
5.9,499,84,1003,27.1,87,Lanzones,augmented_smote
5.8,493,85,908,26.9,86,Lanzones,augmented_smote
3.7,862,69,4019,30.4,98,Lanzones,augmented_smote
5.9,498,84,981,27.1,87,Lanzones,augmented_smote
3.8,841,69,3851,30.2,97,Lanzones,augmented_smote
5.0,639,78,2119,28.2,90,Lanzones,augmented_smote
5.4,560,82,1441,27.5,87,Lanzones,augmented_smote
5.5,570,81,1634,27.9,90,Lanzones,augmented_smote
5.7,516,84,1069,27.0,86,Lanzones,augmented_smote
5.8,493,85,902,26.9,86,Lanzones,augmented_smote
5.8,494,85,912,26.9,86,Lanzones,augmented_smote
4.6,707,75,2694,28.9,92,Lanzones,augmented_smote
5.8,496,85,955,27.0,86,Lanzones,augmented_smote
5.9,500,84,1009,27.1,87,Lanzones,augmented_smote
5.9,500,84,1014,27.1,87,Lanzones,augmented_smote
4.3,761,73,3198,29.5,95,Lanzones,augmented_smote
3.8,849,69,3899,30.2,97,Lanzones,augmented_smote
5.4,586,81,1761,28.0,90,Lanzones,augmented_smote
3.5,897,67,4305,30.7,99,Lanzones,augmented_smote
5.6,533,83,1213,27.2,86,Lanzones,augmented_smote
4.6,707,75,2697,28.9,92,Lanzones,augmented_smote
5.9,498,84,990,27.1,87,Lanzones,augmented_smote
4.9,643,78,2146,28.3,90,Lanzones,augmented_smote
4.0,809,71,3563,29.9,96,Lanzones,augmented_smote
5.8,495,85,935,27.0,86,Lanzones,augmented_smote
4.1,793,72,3420,29.7,95,Lanzones,augmented_smote
4.2,790,72,3431,29.8,96,Lanzones,augmented_smote
4.6,720,75,2860,29.2,94,Lanzones,augmented_smote
4.3,765,73,3184,29.4,94,Lanzones,augmented_smote
4.2,771,73,3241,29.5,95,Lanzones,augmented_smote
4.2,781,72,3361,29.7,96,Lanzones,augmented_smote
5.5,542,83,1290,27.3,87,Lanzones,augmented_smote
5.9,503,84,1060,27.2,88,Lanzones,augmented_smote
5.9,501,84,1027,27.2,87,Lanzones,augmented_smote
4.6,711,75,2730,28.9,93,Lanzones,augmented_smote
5.9,500,84,1020,27.1,87,Lanzones,augmented_smote
5.5,564,81,1584,27.8,90,Lanzones,augmented_smote
5.9,498,84,985,27.1,87,Lanzones,augmented_smote
4.2,788,72,3412,29.7,96,Lanzones,augmented_smote
5.9,502,84,1058,27.2,87,Lanzones,augmented_smote
5.0,632,79,2057,28.2,90,Lanzones,augmented_smote
4.1,784,72,3345,29.6,95,Lanzones,augmented_smote
5.9,500,84,1012,27.1,87,Lanzones,augmented_smote
5.2,621,79,2046,28.3,91,Lanzones,augmented_smote
5.8,491,85,859,26.8,85,Lanzones,augmented_smote
5.8,494,85,923,26.9,86,Lanzones,augmented_smote
4.8,677,77,2509,28.8,93,Lanzones,augmented_smote
3.5,898,67,4313,30.7,99,Lanzones,augmented_smote
4.7,710,75,2774,29.1,94,Lanzones,augmented_smote
5.1,607,80,1845,27.9,89,Lanzones,augmented_smote
5.4,592,80,1813,28.1,90,Lanzones,augmented_smote
4.9,641,78,2137,28.2,90,Lanzones,augmented_smote
5.9,498,84,982,27.1,87,Lanzones,augmented_smote
5.9,505,84,1098,27.3,88,Lanzones,augmented_smote
5.4,557,82,1422,27.4,87,Lanzones,augmented_smote
5.8,496,85,950,27.0,86,Lanzones,augmented_smote
5.7,504,84,965,26.9,85,Lanzones,augmented_smote
4.6,708,75,2704,28.9,92,Lanzones,augmented_smote
4.0,807,71,3540,29.8,96,Lanzones,augmented_smote
4.4,736,74,2944,29.2,93,Lanzones,augmented_smote
4.5,734,74,2974,29.3,94,Lanzones,augmented_smote
4.4,735,74,2932,29.1,93,Lanzones,augmented_smote
5.8,491,85,874,26.8,85,Lanzones,augmented_smote
5.0,648,78,2274,28.5,92,Lanzones,augmented_smote
6.5,726,81,2033,27.8,98,Rambutan,augmented_smote
5.8,455,86,937,27.1,86,Rambutan,augmented_smote
5.9,487,84,1113,27.3,87,Rambutan,augmented_smote
5.8,489,85,855,26.8,85,Rambutan,augmented_smote
5.9,484,84,1079,27.2,87,Rambutan,augmented_smote
5.5,444,88,811,26.6,81,Rambutan,augmented_smote
