soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label
5.8,490,85,850,26.8,85,Jackfruit
5.9,505,84,1100,27.3,88,Jackfruit
3.5,898,67,4316,30.7,99,Jackfruit
6,517,88,1094,28.5,99,Jackfruit
6,400,80,1000,27.9,80,Jackfruit
6,435,79,2000,28.1,82,Jackfruit
5.5,455,85,1150,27.1,85,Lanzones 
6.1,415,79,1750,28.3,83,Lanzones 
6.2,440,80,1450,28.1,88,Lanzones
5.9,430,82,1500,27,80,Lanzones 
5.7,425,85,1100,26.9,81,Lanzones 
5.5,410,86,1300,26.7,82,Lanzones 
5.6,460,84,1000,27.5,85,Lanzones
6,450,83,950,27.8,86,Lanzones
5.4,470,83,1300,27.9,90,Lanzones
4,771,79,8280,28.8,99,Lanzones
4.5,810,66,9337,29.3,99,Lanzones
6.8,550,75,2500,29.2,95,Lanzones
6.4,495,81,1650,27.8,92,Lanzones
5.4,470,83,1300,27.9,90,Lanzones
6.5,475,80,1215,27,99,Lanzones
6.2,480,82,1500,27.5,90,Lanzones
6.3,460,78,1800,28.2,90,Lanzones
6.1,510,83,1400,28,98,Lanzones
5.7,445,84,980,27.2,86,Lanzones
6,355,70,12571,33.9,99,Lanzones
5.7,470,84,1050,27.4,89,Lanzones
5.8,490,85,850,26.8,85,Lanzones
5.9,505,84,1100,27.3,88,Lanzones
3.5,898,67,4316,30.7,99,Lanzones
6,517,88,1094,28.5,99,Lanzones
6,400,80,1000,27.9,80,Lanzones
6,435,79,2000,28.1,82,Lanzones
5.5,455,85,1150,27.1,85,Mango 
6.1,415,79,1750,28.3,83,Mango 
6.2,440,80,1450,28.1,88,Mango
5.9,430,82,1500,27,80,Mango 
5.7,425,85,1100,26.9,81,Mango 
5.5,410,86,1300,26.7,82,Mango 
5.6,460,84,1000,27.5,85,Mango
6,450,83,950,27.8,86,Mango
5.4,470,83,1300,27.9,90,Mango
4,771,79,8280,28.8,99,Mango
4.5,810,66,9337,29.3,99,Mango
6.8,550,75,2500,29.2,95,Mango
6.4,495,81,1650,27.8,92,Mango
5.4,470,83,1300,27.9,90,Mango
6.5,475,80,1215,27,99,Mango
6.2,480,82,1500,27.5,90,Mango
6.3,460,78,1800,28.2,90,Mango
6.1,510,83,1400,28,98,Mango
5.7,445,84,980,27.2,86,Mango
6,355,70,12571,33.9,99,Mango
5.7,470,84,1050,27.4,89,Mango
5.8,490,85,850,26.8,85,Mango
5.9,505,84,1100,27.3,88,Mango
3.5,898,67,4316,30.7,99,Mango
6,517,88,1094,28.5,99,Mango
6,400,80,1000,27.9,80,Mango
6,435,79,2000,28.1,82,Mango
5.5,455,85,1150,27.1,85,Papaya 
6.1,415,79,1750,28.3,83,Papaya 
6.2,440,80,1450,28.1,88,Papaya
5.9,430,82,1500,27,80,Papaya 
5.7,425,85,1100,26.9,81,Papaya 
5.5,410,86,1300,26.7,82,Papaya 
5.6,460,84,1000,27.5,85,Papaya
6,450,83,950,27.8,86,Papaya
5.4,470,83,1300,27.9,90,Papaya
4,771,79,8280,28.8,99,Papaya
4.5,810,66,9337,29.3,99,Papaya
6.8,550,75,2500,29.2,95,Papaya
6.4,495,81,1650,27.8,92,Papaya
5.4,470,83,1300,27.9,90,Papaya
6.5,475,80,1215,27,99,Papaya
6.2,480,82,1500,27.5,90,Papaya
6.3,460,78,1800,28.2,90,Papaya
6.1,510,83,1400,28,98,Papaya
5.7,445,84,980,27.2,86,Papaya
6,355,70,12571,33.9,99,Papaya
5.7,470,84,1050,27.4,89,Papaya
5.8,490,85,850,26.8,85,Papaya
5.9,505,84,1100,27.3,88,Papaya
3.5,898,67,4316,30.7,99,Papaya
6,517,88,1094,28.5,99,Papaya
6,400,80,1000,27.9,80,Papaya
6,435,79,2000,28.1,82,Papaya 
3.5,898,67,4316,30.7,99,Rambutan 
5.8,490,85,850,26.8,85,Rambutan
5.9,505,84,1100,27.3,88,Rambutan
6.5,745,81,2090,27.8,99,Rambutan
5.9,455,84,1050,27,85,Rambutan
6,435,83,1150,27.4,83,Rambutan
5.8,460,85,950,27.2,87,Rambutan
5.6,450,86,1000,26.8,84,Rambutan
6.1,465,82,1250,27.5,86,Rambutan
5.5,445,88,800,26.6,81,Rambutan
5.7,440,87,900,26.7,82,Rambutan

6,517,88,1094,28.5,99,Cassava
6.5,465,82,1200,27.6,95,Cassava
6.5,485,82,1200,27.5,98,Cassava
6.7,470,84,1000,27.1,96,Cassava
6.4,475,80,1300,28.3,97,Cassava
6.7,460,85,1100,27.3,99,Cassava
6.3,505,83,1400,27.6,94,Cassava
6.8,480,80,1600,28,96,Cassava
6.6,495,81,1500,27.9,95,Cassava
6.3,460,78,1800,28.2,90,Cassava
5.5,455,85,1150,27.1,85,Cassava
6.4,500,80,1900,27.7,93,Cassava
6.2,530,79,2400,28.2,91,Cassava
6,525,81,2000,27.8,94,Cassava
6.1,515,77,2500,28.4,88,Cassava
6.5,490,80,1800,28,92,Cassava
6.3,505,78,2200,27.5,90,Cassava
5.9,485,83,1500,26.9,89,Cassava
4.5,359,70,15839,34.6,99,Cassava
6.4,495,81,1650,27.8,92,Cassava
5.4,470,83,1300,27.9,90,Cassava
6,517,88,1094,28.5,99,Gabi
6.5,465,82,1200,27.6,95,Gabi
6.5,485,82,1200,27.5,98,Gabi
6.7,470,84,1000,27.1,96,Gabi
6.4,475,80,1300,28.3,97,Gabi
6.7,460,85,1100,27.3,99,Gabi
6.3,505,83,1400,27.6,94,Gabi
6.8,480,80,1600,28,96,Gabi
6.6,495,81,1500,27.9,95,Gabi
6.3,460,78,1800,28.2,90,Gabi
5.5,455,85,1150,27.1,85,Gabi
6.4,500,80,1900,27.7,93,Gabi
6.2,530,79,2400,28.2,91,Gabi
6,525,81,2000,27.8,94,Gabi
6.1,515,77,2500,28.4,88,Gabi
6.5,490,80,1800,28,92,Gabi
6.3,505,78,2200,27.5,90,Gabi
5.9,485,83,1500,26.9,89,Gabi
4.5,359,70,15839,34.6,99,Gabi
6.4,495,81,1650,27.8,92,Gabi
5.4,470,83,1300,27.9,90,Gabi
6,517,88,1094,28.5,99,Ginger
6.5,465,82,1200,27.6,95,Ginger
6.5,485,82,1200,27.5,98,Ginger
6.7,470,84,1000,27.1,96,Ginger
6.4,475,80,1300,28.3,97,Ginger
6.7,460,85,1100,27.3,99,Ginger
6.3,505,83,1400,27.6,94,Ginger
6.8,480,80,1600,28,96,Ginger
6.6,495,81,1500,27.9,95,Ginger
6.3,460,78,1800,28.2,90,Ginger
5.5,455,85,1150,27.1,85,Ginger
6.4,500,80,1900,27.7,93,Ginger
6.2,530,79,2400,28.2,91,Ginger
6,525,81,2000,27.8,94,Ginger
6.1,515,77,2500,28.4,88,Ginger
6.5,490,80,1800,28,92,Ginger
6.3,505,78,2200,27.5,90,Ginger
5.9,485,83,1500,26.9,89,Ginger
4.5,359,70,15839,34.6,99,Ginger
6.4,495,81,1650,27.8,92,Ginger
5.4,470,83,1300,27.9,90,Ginger
6,517,88,1094,28.5,99,Kamoteng Baging
6.5,465,82,1200,27.6,95,Kamoteng Baging
6.5,485,82,1200,27.5,98,Kamoteng Baging
6.7,470,84,1000,27.1,96,Kamoteng Baging
6.4,475,80,1300,28.3,97,Kamoteng Baging
6.7,460,85,1100,27.3,99,Kamoteng Baging
6.3,505,83,1400,27.6,94,Kamoteng Baging
6.8,480,80,1600,28,96,Kamoteng Baging
6.6,495,81,1500,27.9,95,Kamoteng Baging
6.3,460,78,1800,28.2,90,Kamoteng Baging
5.5,455,85,1150,27.1,85,Kamoteng Baging
6.4,500,80,1900,27.7,93,Kamoteng Baging
6.2,530,79,2400,28.2,91,Kamoteng Baging
6,525,81,2000,27.8,94,Kamoteng Baging
6.1,515,77,2500,28.4,88,Kamoteng Baging
6.5,490,80,1800,28,92,Kamoteng Baging
6.3,505,78,2200,27.5,90,Kamoteng Baging
5.9,485,83,1500,26.9,89,Kamoteng Baging
4.5,359,70,15839,34.6,99,Kamoteng Baging
6.4,495,81,1650,27.8,92,Kamoteng Baging
5.4,470,83,1300,27.9,90,Kamoteng Baging
6,517,88,1094,28.5,99,Sweet Potato
6.5,465,82,1200,27.6,95,Sweet Potato
6.5,485,82,1200,27.5,98,Sweet Potato
6.7,470,84,1000,27.1,96,Sweet Potato
6.4,475,80,1300,28.3,97,Sweet Potato
6.7,460,85,1100,27.3,99,Sweet Potato
6.3,505,83,1400,27.6,94,Sweet Potato
6.8,480,80,1600,28,96,Sweet Potato
6.6,495,81,1500,27.9,95,Sweet Potato
6.3,460,78,1800,28.2,90,Sweet Potato
5.5,455,85,1150,27.1,85,Sweet Potato
6.4,500,80,1900,27.7,93,Sweet Potato
6.2,530,79,2400,28.2,91,Sweet Potato
6,525,81,2000,27.8,94,Sweet Potato
6.1,515,77,2500,28.4,88,Sweet Potato
6.5,490,80,1800,28,92,Sweet Potato
6.3,505,78,2200,27.5,90,Sweet Potato
5.9,485,83,1500,26.9,89,Sweet Potato
4.5,359,70,15839,34.6,99,Sweet Potato
6.4,495,81,1650,27.8,92,Sweet Potato
5.4,470,83,1300,27.9,90,Sweet Potato
6,517,88,1094,28.5,99,Ube
6.5,465,82,1200,27.6,95,Ube
6.5,485,82,1200,27.5,98,Ube
6.7,470,84,1000,27.1,96,Ube
6.4,475,80,1300,28.3,97,Ube
6.7,460,85,1100,27.3,99,Ube
6.3,505,83,1400,27.6,94,Ube
6.8,480,80,1600,28,96,Ube
6.6,495,81,1500,27.9,95,Ube
6.3,460,78,1800,28.2,90,Ube
5.5,455,85,1150,27.1,85,Ube
6.4,500,80,1900,27.7,93,Ube
6.2,530,79,2400,28.2,91,Ube
6,525,81,2000,27.8,94,Ube
6.1,515,77,2500,28.4,88,Ube
6.5,490,80,1800,28,92,Ube
6.3,505,78,2200,27.5,90,Ube
5.9,485,83,1500,26.9,89,Ube
4.5,359,70,15839,34.6,99,Ube
6.4,495,81,1650,27.8,92,Ube
5.4,470,83,1300,27.9,90,Ube
6.3,525,74,3200,29.1,88,Ampalaya
6.7,530,74,3000,29.5,92,Ampalaya 
5.5,485,76,2400,28.9,87,Ampalaya
5.7,420,81,950,28,80,Ampalaya
5.5,485,76,2400,28.9,87,Ampalaya
6.6,535,75,2600,28.7,94,Ampalaya
6.7,530,74,3000,29.5,92,Ampalaya
6.3,525,74,3200,29.1,88,Ampalaya
6.9,540,76,2700,29,93,Ampalaya
6.9,540,76,2700,29,93,Ampalaya
6.3,525,74,3200,29.1,88,Eggplant
6.7,530,74,3000,29.5,92,Eggplant 
5.5,485,76,2400,28.9,87,Eggplant
5.7,420,81,950,28,80,Eggplant
5.5,485,76,2400,28.9,87,Eggplant
6.6,535,75,2600,28.7,94,Eggplant
6.7,530,74,3000,29.5,92,Eggplant
6.3,525,74,3200,29.1,88,Eggplant
6.9,540,76,2700,29,93,Eggplant
6.9,540,76,2700,29,93,Eggplant
6.3,525,74,3200,29.1,88,Pechay
6.7,530,74,3000,29.5,92,Pechay 
5.5,485,76,2400,28.9,87,Pechay
5.7,420,81,950,28,80,Pechay
5.5,485,76,2400,28.9,87,Pechay
6.6,535,75,2600,28.7,94,Pechay
6.7,530,74,3000,29.5,92,Pechay
6.3,525,74,3200,29.1,88,Pechay
6.9,540,76,2700,29,93,Pechay
6.9,540,76,2700,29,93,Pechay
6.3,525,74,3200,29.1,88,Squash
6.7,530,74,3000,29.5,92,Squash 
5.5,485,76,2400,28.9,87,Squash
5.7,420,81,950,28,80,Squash
5.5,485,76,2400,28.9,87,Squash
6.6,535,75,2600,28.7,94,Squash
6.7,530,74,3000,29.5,92,Squash
6.3,525,74,3200,29.1,88,Squash
6.9,540,76,2700,29,93,Squash
6.9,540,76,2700,29,93,Squash 
6.3,525,74,3200,29.1,88,String Bean
6.7,530,74,3000,29.5,92,String Bean 
5.5,485,76,2400,28.9,87,String Bean
5.7,420,81,950,28,80,String Bean
5.5,485,76,2400,28.9,87,String Bean
6.6,535,75,2600,28.7,94,String Bean
6.7,530,74,3000,29.5,92,String Bean
6.3,525,74,3200,29.1,88,String Bean
6.9,540,76,2700,29,93,String Bean
6.9,540,76,2700,29,93,String Bean 
6.3,525,74,3200,29.1,88,Ube
6.7,530,74,3000,29.5,92,Ube 
5.5,485,76,2400,28.9,87,Ube
5.7,420,81,950,28,80,Ube
5.5,485,76,2400,28.9,87,Ube
6.6,535,75,2600,28.7,94,Ube
6.7,530,74,3000,29.5,92,Ube
6.3,525,74,3200,29.1,88,Ube
6.9,540,76,2700,29,93,Ube
6.9,540,76,2700,29,93,Ube
6.2,480,82,1500,27.5,90,Maize
5.3,520,77,2800,28.8,86,Maize
6,515,78,2750,28.4,89,Maize
6.8,550,75,2500,29.2,95,Maize
6,515,78,2750,28.4,89,Maize 
6.2,480,82,1500,27.5,90,Rice
5.3,520,77,2800,28.8,86,Rice
6,515,78,2750,28.4,89,Rice
6.8,550,75,2500,29.2,95,Rice
6,515,78,2750,28.4,89,Rice 
6.2,480,82,1500,27.5,90,Sweet Sorghum
5.3,520,77,2800,28.8,86,Sweet Sorghum
6,515,78,2750,28.4,89,Sweet Sorghum
6.8,550,75,2500,29.2,95,Sweet Sorghum
6,515,78,2750,28.4,89,Sweet Sorghum 
5.6,440,85,900,26.9,85,Black Pepper
5.6,440,85,900,26.9,85,Black Pepper
5.7,400,86,850,27,87,Black Pepper
5.6,425,88,900,26.8,85,Black Pepper
5.5,410,89,800,26.6,89,Black Pepper
5.8,430,84,1000,27.3,88,Black Pepper
5.9,405,85,950,27.1,86,Black Pepper
5.5,415,87,750,26.5,84,Black Pepper
5.7,420,83,1050,27.2,85,Black Pepper
6.5,475,80,1215,27,99,Black Pepper
5.5,450,86,700,26.5,87,Black Pepper
5.5,450,86,700,26.5,87,Black Pepper
6,435,79,2000,28.1,82,Black Pepper
5.5,485,76,2400,28.9,87,Black Pepper
5.6,440,85,900,26.9,85,Cacao
5.6,440,85,900,26.9,85,Cacao
5.7,400,86,850,27,87,Cacao
5.6,425,88,900,26.8,85,Cacao
5.5,410,89,800,26.6,89,Cacao
5.8,430,84,1000,27.3,88,Cacao
5.9,405,85,950,27.1,86,Cacao
5.5,415,87,750,26.5,84,Cacao
5.7,420,83,1050,27.2,85,Cacao
6.5,475,80,1215,27,99,Cacao
5.5,450,86,700,26.5,87,Cacao
5.5,450,86,700,26.5,87,Cacao
6,435,79,2000,28.1,82,Cacao
5.5,485,76,2400,28.9,87,Cacao
5.6,440,85,900,26.9,85,Coffee
5.6,440,85,900,26.9,85,Coffee
5.7,400,86,850,27,87,Coffee
5.6,425,88,900,26.8,85,Coffee
5.5,410,89,800,26.6,89,Coffee
5.8,430,84,1000,27.3,88,Coffee
5.9,405,85,950,27.1,86,Coffee
5.5,415,87,750,26.5,84,Coffee
5.7,420,83,1050,27.2,85,Coffee
6.5,475,80,1215,27,99,Coffee
5.5,450,86,700,26.5,87,Coffee
5.5,450,86,700,26.5,87,Coffee
6,435,79,2000,28.1,82,Coffee
5.5,485,76,2400,28.9,87,Coffee
5.6,440,85,900,26.9,85,Calamansi
5.6,440,85,900,26.9,85,Calamansi
5.7,400,86,850,27,87,Calamansi
5.6,425,88,900,26.8,85,Calamansi
5.5,410,89,800,26.6,89,Calamansi
5.8,430,84,1000,27.3,88,Calamansi
5.9,405,85,950,27.1,86,Calamansi
5.5,415,87,750,26.5,84,Calamansi
5.7,420,83,1050,27.2,85,Calamansi
6.5,475,80,1215,27,99,Calamansi
5.5,450,86,700,26.5,87,Calamansi
5.5,450,86,700,26.5,87,Calamansi
6,435,79,2000,28.1,82,Calamansi
5.5,485,76,2400,28.9,87,Calamansi
5.6,440,85,900,26.9,85,Sili Labuyo
5.6,440,85,900,26.9,85,Sili Labuyo
5.7,400,86,850,27,87,Sili Labuyo
5.6,425,88,900,26.8,85,Sili Labuyo
5.5,410,89,800,26.6,89,Sili Labuyo
5.8,430,84,1000,27.3,88,Sili Labuyo
5.9,405,85,950,27.1,86,Sili Labuyo
5.5,415,87,750,26.5,84,Sili Labuyo
5.7,420,83,1050,27.2,85,Sili Labuyo
6.5,475,80,1215,27,99,Sili Labuyo
5.5,450,86,700,26.5,87,Sili Labuyo
5.5,450,86,700,26.5,87,Sili Labuyo
6,435,79,2000,28.1,82,Sili Labuyo
5.5,485,76,2400,28.9,87,Sili Labuyo
6.8,405,79,1900,28,84,Ipil Ipil
6.2,410,78,2200,28.4,83,Ipil Ipil
6.8,405,79,1900,28,84,Ipil Ipil
6.8,405,79,1900,28,84,Katuray
6.2,410,78,2200,28.4,83,Katuray
6.8,405,79,1900,28,84,Katuray 
6.8,405,79,1900,28,84,Forage Grass
5.7,470,84,1050,27.4,89,Forage Grass
5.7,420,81,950,28,80,Forage Grass
6.1,390,76,1850,28.3,78,Forage Grass
4,632,62,8077,29.5,99,Forage Grass 
6.8,405,79,1900,28,84,Kulo
5.7,470,84,1050,27.4,89,Kulo
5.7,420,81,950,28,80,Kulo
6.1,390,76,1850,28.3,78,Kulo
4,632,62,8077,29.5,99,Kulo
6.8,405,79,1900,28,84,Lipote
5.7,470,84,1050,27.4,89,Lipote
5.7,420,81,950,28,80,Lipote
6.1,390,76,1850,28.3,78,Lipote
4,632,62,8077,29.5,99,Lipote
6.8,405,79,1900,28,84,Orchid
5.7,470,84,1050,27.4,89,Orchid
5.7,420,81,950,28,80,Orchid
6.1,390,76,1850,28.3,78,Orchid
4,632,62,8077,29.5,99,Orchid
6.8,405,79,1900,28,84,Bamboo
5.7,470,84,1050,27.4,89,Bamboo
5.7,420,81,950,28,80,Bamboo
6.1,390,76,1850,28.3,78,Bamboo
4,632,62,8077,29.5,99,Bamboo
5.3,520,77,2800,28.8,86,Pineapple
5.4,500,77,2900,28.6,88,Pineapple
4,594,73,39100,34.1,99,Pineapple
5.5,440,76,21062,31.5,99,Pineapple
9,624,72,43700,33.5,99,Pineapple
